short_question,short_answer,tags,label,answer_length,question_length
what causes a sinus infection,thank you dr darrag,['sinus infection'],-1.0,19,29
what is atherosclerosis,atherosclerosis often described as a hardening of the arteries occurs when the normal lining of the arteries deteriorates the walls of arteries thicken and deposits of fat and plaque build up causing narrowing or even blockage of the arteries,['atherosclerosis'],1.0,242,23
is bronchial pneumonia contagious,not yet that technology is not even close to being perfected,['pneumonia'],-1.0,60,33
what the easiest way to cook squash,by posting this question you are indicating concern so it would be in your best interest to see a medical provider so that you can be properly examined diagnosed and treated     not something that can be accomplished on line in this forum,['squash' 'cooking'],-1.0,238,35
how often can albuterol be used,usually a baby treated from bronchiololitils will be ok with no complications after 3 weeks but monitoring is important as he may need to get a home oxygen therapy keep him highl immunity by breast feeding …and hydration is crucial,[''],-1.0,231,31
can viagra cause prostate cancer,yes it is safe,['prostate cancer'],-1.0,14,32
can atenolol stunt a child is growth,i am not aware of any evidence that beta blockers like atenolol can stunt a child is growth if you have concerns about your child is medications you should talk to his or her health care professional,['skin'],1.0,199,36
can u get a piercing through a mole,i think that would be absolutely foolish,['piercing' 'mole'],1.0,40,35
can i still ovulate if i am pregnant,no you do not still ovulate after conception the point of ovulation is to release a fresh egg for fertilization as you already have a very ripe and fertilized egg there is no need for this,['pregnancy' 'ovulation'],1.0,188,36
hiv and aids,can happen in rare cases u need to repeat the test after 2 months a level 4 test would be more confirmatory,['hiv and aids testing'],1.0,107,12
can tapeworms get in your ear,no tapeworms live only in the intestinal tract there is no room for them in your ear canal and nothing for them to eat,['tapeworm infection' 'ears'],1.0,118,29
is novacaine used in gum graft surgery,most likely an injectable anesthetic like lidocaine like novacaine is used for most dental procedures requiring surgery but you would need to ask the dentist first hand what heshe will be using,['graft' 'surgery'],1.0,193,38
pure blood in urine…quite a lot,dr donot know what cause lupus,['blood in urine'],-1.0,30,31
what is the treatment for prostatitis,this is an over dosage but not a toxic or dangerous over dosage assuming if just was one isolated incident one needs to be very careful and not exceed recommended dosages of prescription or non prescription medications the most likely side effect would be gastrointestinal,['prostatitis'],-1.0,272,37
what do my blood test results mean,no a vaginal yeast infections is caused by yeast candida monilia colase    a stool softener    will not cause a yeast infection,['blood test reults'],-1.0,127,34
what is the source of bronchitis,in the vast majority of cases the source is a respiratory virus,['bronchitis'],1.0,63,32
can you run a fever with pink eye,pink eye itself should not cause a fever but some forms of conjunctivitis are viral and are part of a larger array of many cold like symptoms in this case the viral infection cold could cause fever in some people,['running' 'fever' 'pink eye'],1.0,212,33
how can i boost my testosterone level,hi there seems to be a oesophageal constriction  stricture somewhere down the throat this is not due to gastritis definitely to see whats wrong you need to get an oesophago gastro endoscopy done consult a gastroenterologist thanks,['testosterone'],-1.0,230,37
is medical care nessary for shingles,hi this first advice come from the uk is nhs <link> just copy into google to the www to open and read more advice from the mayo clinic <link> just google the same way and last this advice from earth clinic <link> and yes just google nthe same ok lots of advice just hope something helps you good luck,['shingles'],1.0,300,36
terrible headaches… worst human pain,sometimes alcohol triggers trigeminal neuralgia attacks – although not right away but in 24 hours after,['headaches'],1.0,103,36
is butter casein free,hi its 5050 chance then if this was within the last 72 hours get to plan b unless your gf is not worried as perhaps she wants you to father her child for now if its past the 72 hours is wait good luck,[''],-1.0,200,21
why do new dads get depressed,in my opinion first you should check your t4 t3 tsh levels magnesium and sodium level if they are normal then you should consult your gynaecologist for possible contraceptive pills side effects after long term use also check your epinephrine levelsgood luck,[''],-1.0,257,29
what is implantable contraception,in my opinion you should get a s ferritin hb electrophoresis and if nothing showed up get a bone marrow exam a hematologist can help you better than a agp,[''],-1.0,154,33
is it legg perthes calvé disease,hi yes it is bilateral legg perthes calvé disease with a broken bone fragment on right side i am really sorry good luck,[''],1.0,119,32
what is juvenile myoclonic epilepsy,hi you seem low on immunity with local spondylitis problems get a detailed blood examination done xray of neck with  without an mri will help rule out disc related issues physiotherapy and exercises are the mainstay of treatment thanks,['epilepsy'],-1.0,235,35
can you get pregnant while on the pill,hi being out in the fresh air is good for you when you have a cold wet or dry your find you will breath a lot better being in hot stuffy rooms just clogs up your nose so in the fresh air you will fill a lot better hope this helps you good luck,['pregnancy' 'birth control pill'],-1.0,243,38
can you supsitue prozac for xanaz,no they are very different drugs  xanax not xanaz,[''],1.0,49,33
can i take metamucil with naproxen,ask your doctor about diverticulitis,['naproxen' 'metamucil'],-1.0,36,34
sharp pain lower abdomen,u should get an ultra sonography of abdomen done to see whats wrong take anti spasmodic tablets apply local gel hot fomentation,[''],1.0,127,24
does invirase cure hivaids,dogs are not usually susceptible to human respiratory viruses this is why they are called lucky dogs besides cold viruses tend to be more contagious a day before you know you have a cold and for about two days afterwards,['aids' 'hiv'],-1.0,220,26
how is a sinus infection treated,amoxicillin is best for treating sinusitis because it is usually effective and has few side effects it should not be used if you are allergic to amoxicillin or have been diagnosed with mononucleosis,['sinus infection'],1.0,198,32
what causes hair loss,do stool analysisit could be parasitic infestation,['hair loss'],-1.0,50,21
how common is travelers diarrhea,you can take advantage of the marketplaces and subsidies and drop your cobra plan,"['diarrhea' '""travelers diarrhea""']",-1.0,81,32
pregnant with spider bites,i do not know your son is medical history age type of pneumonia type of treatment etc  but playing outside is fine in most cases if he has any special considerations asthma  or is still having a fever then it would be best to get this okay from the medical provider who is treating him,['spder bites while pregnant'],-1.0,285,26
can someone prevent typhoid fever,hi you have a chest problem from a cold a cold is not an allergy a cold comes from a virus if you think its getting worst see your doctor good luck,['typhoid'],-1.0,147,33
i am embarrassed but i have pubic lice,take your antibiotoics and be paitent that happens to me everytime i get a sinus infection try also using breath right strips i found they helped relieved pressure during the night so i was able to taste somethings in the mornings,['pubic lice'],-1.0,230,38
what causes anemia,one should have an indication of infection by the color of the mucus i e clearwhite to yellow to green green being a sign of probable sinusbronchial infection,['anemia'],-1.0,158,18
how should a male condom be used,hi if the eyes are watery constantly then there are only 2 possibilities either its due to dryness of the conjunctiva or vision problems nothing else eems to be wrong to me you can take a second opinion from another opthalmologist thanks,['condom'],-1.0,237,32
i have been coughing up blood today,hi bright blood indicates it is nothing serious probably phrangyal laceration from continuous couching good luck,['coughing up blood'],1.0,112,35
what causes acne vulgaris,i tried lotions dermaabrasions anti0biotics to accutane but i got cured of acne after the time i did colon cleansing,['acne'],1.0,116,25
what is hepatitis,you must be doing something right i see nothing wrong with your very conscientious program of oral hygiene,['hepatitis'],-1.0,106,17
what is crohn is disease,what was you last menstrual date if the flow that started from 5th june was your correct menstrual date as per last cycle than there is no question of pregnancy as the test is also negative you may not be pregnant if you still have doubts you can consult your doctor for further investigation,"['""crohns disease""']",-1.0,292,24
what is an hla b27 blood test for,here is a site that can answer your question more completely <link>,['blood test'],1.0,67,33
why are steroids injected,injecting steroids into one or two local areas of inflammation allows doctors to deliver a high dose of medication directly to the problem area when doctors give steroids by mouth or intravenously they cannot be sure an adequate amount of the steroid will eventually reach the problem area,['injection' 'steroid'],1.0,289,25
can bipolar disorder be inherited,hi see the above answer,['bipolar disorder'],-1.0,23,33
is laryngitis contagious,hi ideally it should be 40 days before you get the cast removed you can get a xray now to see if the bone is united and then get the plaster removed if the xray confirms that the bone is united just removing the plaster cast blindly could be risky thanks,['laryngitis'],-1.0,254,24
what is a pacemaker,hi lopez just go see your doctor and get a test done there that way you will know for sure good luck,['pacemaker'],-1.0,100,19
is it okay to sleep with my make up on,those exercises should not adversely effect her vaginal opening although a straddle type injury could rupture a fragile hymen basically stretching her legs should only effect the legs,['makeup'],-1.0,183,38
i am a cheerleader my leg cracked,not pain but very sweaty after showering and generally not feeling good when in heat or sun and sometimes i have really bad sun burnes that lasts for days in patches,['cracked leg sprain'],-1.0,165,33
do pregnant people ovulate at all,hi not during pregnancy if that is what you mean good luck,['pregnancy' 'ovulation'],1.0,58,33
how do i care for my dental implant,they can but enuresis wetting can occur in many children in many ages for many other reasons including those who do not have adhd most of my pediatric patients who are have wetting issues do not have adhd,['dental'],-1.0,204,35
how to know when cats run fevers,if the adderall was specifically prescribed to you then you do not need to worry if it is detected,['cats' 'running' 'fever'],-1.0,98,32
suffering really bad conjunctivitis,bacteria caused conjunctivitis is treated with antibiotics – eye drops or pills get checked by your eye doctor,['conjunctivitis'],1.0,110,35
is a chalazion like a pimple,its a spasmodic type of pain and can be caused by many gynecological reasons most common cause can be a pelvic inflammatory disease you need to get it checked from a doctor anti spasmodic tablets and local gel can help analgesic tablets should be taken only if the pain is severe,['acne' 'chalazion'],-1.0,279,28
terrible headaches… worst human pain,hi these symptoms are generally due to severe migraine attacks or a condition called trigeminal neuralgia wherein a cranial nerve inside the brain is swollen and blocked causing severe headache pains consult a neurologist get a ct mri brain done thanks,['headaches'],1.0,252,36
why does my urine smell sweet,urine should not smell sweet so it would be wise to have a urinalysis to find out why your medical provider can order this test take a thorough medical history and perform and appropriate examination it would not be prudent to ignore this symptom,['smell'],1.0,246,29
white growth in my mouth,hi its a tonsillar infection with a plaque usually it resolves by itself do saline water gargles if it doesnt resolve consult a ent specialist,['mouth growth'],1.0,142,24
lower back pain – what should i do,com these twitches and tics are usually due to stress and anxiety or even increased caffeine intake do you drink lot of caffeine are there any medications you are now on,['lower back pain'],-1.0,169,34
what do bedbugs look like,adult bed bugs are wingless insects about one quarter of an inch long and oval in shape their color is nearly white after molting then ranges from tan to burnt orange after a blood meal they will appear dark red or black,['bedbug'],1.0,220,25
what are chemical burns,hi i do not think it is normal growing pain you definitely have something wrong in your spine that is troubling you may be a slipped disc a pars defect you should atleast get an xray  mri done to see if anything is wrong inside do not neglect as you are very young thanks,['burn'],-1.0,271,23
how to control my high blood pressure,restrict salt intake mediation exercise and yoga will help but do find out the cause of high bp at such a young age,['high blood pressure'],1.0,115,37
can i take zotex while on cipro,this is a great question and very common for pharmacists to get during cough cold and allergy season it is fine to take these two medications together if you ever have any questions about possible drug interactions or other questions come and ask the pharmacist we are here to help,[''],1.0,281,31
what can i do to treat lice at home,hi it is not cancer bladder renal stones or cystitis are the possibilities get usg and barium studies will help thanks,['lice'],-1.0,118,35
what is infertility,infertility is typically defined as an inability to get pregnant after a year of unprotected intercourse,['infertility'],1.0,104,19
what are kegel exercises,kegel exercises strengthen the muscles that line the floor of the pelvis by alternately squeezing and holding the muscles and then relaxing them they can help prevent incontinence,['exercise'],1.0,179,24
what is ischemic heart disease,ischemic heart disease is a condition caused by a decrease in blood flow to the heart this decrease is usually the result of narrowed coronary arteries which impede the blood flow,['heart disease'],1.0,179,30
what is chlamydia,my has me taking flygyl for 3 days he says i have an bacterial infection how is this when i haven had sex in a year,['chlamydia'],1.0,115,17
do i have cushing is syndrome,hi most probably yes a cushings syndrome but these tests do not confirm it 24 hour urine free cortisol test will confirm this high alk phosphatase needs to be dealt with separately consult a endocrinologist thanks,"['""do i have cushings syndrome""']",1.0,213,29
can african american people get lice,they can but it is not as likely that they will lice like to live in clean oil free hair since african american is usually have more oil in their hair it is not as inviting of an environment for the lice to live in,['lice'],1.0,214,36
do penile enlargement surgeries work,my father is actually going through a very similar scenario currently his next options after the epidural blocks and steroid blocks is surgery i believe his two choices for surgery is a fusion vs removal of the bulging disc,['penis' 'surgery'],-1.0,223,36
what causes smelly feet,skin bacteria tend to be the underlying culprit for smelly feet certain types of shoes especially those that do not “breathe well” causing the feet to sweat can also contribute to the disagreeable odor,[''],1.0,201,23
fluttering sensation in ears,this could be myoclonus but there are other possibilities if your symptoms persist it is prudent to see an ent specialist,['ears'],1.0,121,28
ct scan shows issue with prostate,a urethroscopy will be of immense help to decide for further line of treatment,['prostate ct scan results'],1.0,78,33
how are inguinal hernias diagnosed,by a direct examination you can see andor feel them,['hernia'],1.0,51,34
what is a cold is it a virus,please be respectful of this wonderful medical information site and not post advertising or non medical postings this takes up valuable space from people with real medical issues that are requesting a response,['coldness' 'cold' 'virus'],-1.0,209,28
how do i take bupranol fp,it seems to be cholecystitis …inflammation of gall bladder get a new us on the abdomen and reduce fats and alcohol generally,['ibuprofen'],-1.0,124,25
is fatigue after surgery normal,it could be but i do not have enough none in fact about your surgery what kind did you have did you have any blood loss are you anemic it is always best to consult your surgeon or primary care medical provider if you are experiencing post surgical fatigue,['fatigue' 'surgery'],1.0,255,31
can tamiflu be taken with ibuprofen,this is a good question that you can always ask your pharmacist yes you can take ibuprofen while taking tamiflu,['ibuprofen'],1.0,111,35
what fruit juice acts as a laxative,the classic one    prune juice,['fruit' 'juice'],1.0,30,35
what is mch in blood tests,get your child checked up for worm infestation worm infestation do cause the allergic reactions like hives rashes etc do stool examination and consult your doctor for for de worming therapy,['blood test'],-1.0,189,26
i have rash spreading through my body,hi i feel this is a skin infection take anti histaminic tablets and apply local anti fungal steroid based creams taking antifungal tablets will help to heal it faster see a dermatologist if symptoms do not improve thanks,['i have rash spreading through my body'],1.0,220,37
how do you break a fever in a toddler,in my opinion it is most probably an autoimmune disease i recommend crp ana tests to find the diagnosis exactly,['fracture' 'fever' 'toddler'],-1.0,111,37
are these spots next to my labia normal,hi these spots seem to be of allergic rash apply local anti histaminic cream do not rub or scratch consult a gynecologist if symptoms do not improve thanks,['are these spots next to my labia normal?'],1.0,155,39
what conditions does ibu drops treat,hydrocodone is an opiate the same a morphine so yes it will show up as a positive drug test not a false positive but a real positive,['ibuprofen'],-1.0,132,36
what is a status migrainosus migraine,scabies assuming he was accurately diagnosed is a human parasite it is passed on to him by another human it could be from someone the cares for him at the sunday nursery or it did not come from the faulty air duct,['migraine'],-1.0,213,37
what is low blood pressure,there are no dangerous drug interactions between premarin and coreg    the two medications can be safely taken together,['low blood pressure'],-1.0,119,26
can the tongue become larger as we age,yes tongue enlargement is usually harmless unless it is secondary to a systemic disease like hypothyroidism medical andor surgical management may be necessary see your doctor to rule out any specific medical problems,['tongue'],1.0,216,38
what research is being done on epilepsy,hi hey a nice warm bath is relaxing anytime and yes it will help soothe any pain you have try chucking a couple of handfuls of sea salt in it will help as well good luck,['epilepsy'],-1.0,169,39
what are the tests for false pregnancy,not really while an mri can provide very important information in the management of prostate cancer it is treally he biopsy specimens the pathological analysis that will provide more critical information for the cancer specialists,['pregnancy'],-1.0,230,38
how many calories do i burn when i bike,hi once it was swallowed its gone and any left in her mouth which i think there would have been may not have survived in her mouth there not meant to be there so i think your both safe just be safe get her on some kind of bc takes all the worries away do hope this helps good luck,['burn' 'calorie'],-1.0,280,39
i have yellow bumps in my throat,euthyrox is levothyroxine and is suitable for treating your thyroid problem while dostinex can help lower your hyperprolactin so you can get pregnant follow up with the treatment and do not worry,['yellow bumps in my throat'],-1.0,195,32
how do i use a dry powder inhaler,you can also consult a psychologist and get proper counseling done that can help in stress relief,['inhaler'],-1.0,97,33
dark purple spot on breast,hi it seems to be a inflammed duct or gland inside the breast tissue apply local cream take anti inflammatory tablets for 5 days apply ice pack avoid hot fomentation thanks,['dark spot on breast'],1.0,172,26
how can i treat my sinus infection,hi the antibiotics that you have been prescribed are potent and effective enough to care of the infection i do not think that you need a second opinion on that you can additionally get your blood check for any derangements in blood counts sugar and kidney function tests thanks,['sinus infection'],-1.0,277,34
i have left side pain and urinate blood,its due to recurrence of renal calculus get ultrasound done to confirm get urine culture done,['i urinate blood'],1.0,93,39
can kids take dramamine,depends on the age and weight of the child since i do not have that information my suggestion would be for you to get the okay and proper dosage from their pediatrician or consult your pharmacist,[''],1.0,195,23
is a low fat diet better for your heart,you would need to buy a private dental insurance plan you can go to websites such as ehealthinsurance com getinsured com or delta dental to search for insurance options <link> <link> <link> you can get more information about it at <link>,['heart' 'diet'],-1.0,237,39
what causes hiccups,hiccups just happen usually at the worst time these innocent muscle spasms of the diaphragm can be triggered by eating or drinking quickly swallowing air or stressanxiety people who smoke or drink alcohol get hiccups more often for more information see <link>,['hiccup'],1.0,259,19
can children die from a cat allergy,hi but sorry the answer is yes you can still get pregnant why having a yeast infection may not be the answer you looking for or is it good luck,['cats' 'allergy'],-1.0,143,35
do iron supplements cause gas,iron supplements can cause constipation and constipation can contribute to gas so indirectly the answer is yes,['iron'],1.0,110,29
what are the symptoms of food allergies,apply your serum first followed by sun block primer and then concealer,['food allergy'],-1.0,70,39
should i pluck my gray hairs,with repeat plucking or traction  it becomes harder and harder for the hair follicles to replace themselves however plucking will not keep the hair from coming back gray,[''],1.0,169,28
my shoulder pops out and in by itself,it is not dislocating every movement it is just sublaxating due to ligament laxity…your joint capsules is weak and the muscles surrounding needs strengthening exercises try this for about 3months before thinking about surgery you can do a mri to know the status of the ligaments,['dislocated shoulder'],1.0,278,37
what is prednisolone used for,unless you had a tubal reversal and a lot of luck or used in vitro fertilization the chance of you becoming pregnant is extremely slim to none,[''],-1.0,142,29
is a dog is saliva dangerous to infants,you can have the credit sent to the insurer directly or you can elect to pay the premium in full and then receive the tax credit at the end of the year,['infant' 'dog'],-1.0,151,39
can your throat hurt from an std,yes if you have an std in your throat,['throat' 'sexually transmitted disease'],1.0,37,32
who can get pink eye,please be respectful of this important webmd medical information site by not posting advertising for your products your posting takes up valuable space for members seeking answers to their specific questions,['pink eye'],-1.0,207,20
can shingles occur in the scalp,yes mine started right above my ear on my scalp and ended up running over the ear and across my right cheek to the corner of my bottom lip but it began as one single blister on the scalp which my quick thinking primary care doctor found when i went in with stabbing pain in that area,['shingles' 'scalp'],1.0,283,31
how can i prevent premature ejaculation,yes can easily be surically fixed the sooner the better good luck,['premature ejaculation'],-1.0,65,39
can you develop lupus during menopause,there is always a risk when any medication is ingested however plan b is like taking a pack of birth control pills there have been cases where women have become pregnant while taking birth control pills during the first month of pregnancy and there was not any harm to the fetus,['lupus' 'menopause'],-1.0,278,38
what causes ringworm,wearing other players soprts wear some body is hat or if you already have ring worm do not wear clothes +pajams again before washing for the speard of ringworm bleach may also help it,['ringworm'],1.0,183,20
do i require surgery,hi yes there are many issues in your case that usually do not respond to medical line of treatment you do need surgical interventions endoscopic results are known to have better results than open surgeries thanks,['do i require surgery ?'],1.0,212,20
can inguinal hernias cause ed,hi a severe hernia could potentially — albeit very rarely — affect testicular function and hormonal status a lack of the hormone testosterone could lead to sexual dysfunction so how bad is yours have thought of surgery yet good luck,['hernia'],1.0,232,29
what are dental implants,dental implants are replacement tooth roots implants provide a strong foundation for fixed permanent or removable replacement teeth that are made to match your natural teeth,['dental'],1.0,173,24
does oxycontin contain sulfa,no,['oxycodone'],1.0,2,28
is there a test for genital herpes,in my opinion this is a gall stone probably so you need to do another usg to see its size and whether it needs removing the gall bladder,['genital herpes'],-1.0,136,34
what causes gallstones,in my opinion you have a fungal infection supporting your bacterial infection you have both i recommend that you ask your doctor for antifungal as well also consider the surgical treatment good luck,['gallstone'],-1.0,198,22
ct scan shows issue with prostate,i agree see a urologist,['prostate ct scan results'],1.0,23,33
what kind of doctor for my coccyx,usually an orthopedic surgeon    someone who does back surgery    would be the best doctor for a spinal problem in the coccyx,[''],1.0,125,33
how important is the location of a burn,no who told you that both testicles produce sperm that can create a boy or a girl so assuming his remaining testicle is producing a normal amount of viable sperm he is capable of fathering a child of any sex,['burn'],-1.0,207,39
how can exercise boost brainpower,exercise boosts blood flow to the brain and helps it receive oxygen and nutrients the better shape you are in the faster you fire brain waves that are responsible for quick thinking so for example if math is a real problem you may find that daily exercise helps to solve it,['exercise'],1.0,273,33
what is left ventricular hypertrophy,the only way to know for sure if your girlfriend is pregnant is to have her take a pregnancy test here is some information on pregnancy tests <link> here is a few words on the symptoms of pregnancy <link> take care,['left ventricular hypertrophy'],-1.0,214,36
i have high igg levels,just try to find out if you had any old treatedneglected infection,[''],1.0,66,22
can you push a tampon up to far,yes,['tampon'],-1.0,3,31
red eye after cornea transplant,not yet wait to see how the drops work out then consult with your ophthalmologist again,['cornea transplant' 'eye problem' 'ophthalmology'],1.0,87,31
can you lactate during pregnancy,in the third trimester some pregnant women begin to leak colostrum coh loss truhm from their breasts colostrum is the first milk that your breasts produce for the baby it is a thick yellowish fluid containing antibodies that protect newborns from infection,['pregnancy' 'lactate'],1.0,256,32
is coffee good for your liver,did you know that drinking coffee is healthy for the liver studies show that people who drank a few cups a day were less likely to scar their livers and less likely to get liver cancer the same protective effect was not seen with tea or decaffeinated coffee,['liver' 'coffee'],1.0,257,29
what causes hypothyroidism,in my opinion you are experiencing symptoms of dehydration and hypotension i recommend that you recheck your blood pressure reconsult your cardiovascular doctorgood luck,['hypothyroidism'],-1.0,169,26
will lemon juice help acne,lemon juice is used to treat acne lemon juice as it is acidic works as chemical exfolliant but one must take care if their skin is sensitive use of dilutted lemon juice with rose water can be applied to acne spot,['lemon' 'juice' 'acne'],1.0,212,26
mole on neck is burning… is it serious,hi it doesnt seem to be serious it may be a hair root mole infection or an allergic reaction to frequent rubbing apply local creams take anti histamine tablets maintain good local hygiene prevent it from getting frictioned if it doesnt resolve consult a dermatologist thanks,['mole'],1.0,274,38
what is a cataract,you could lose your baby would you starve your child for 8 days outside of the womb,['cataract'],-1.0,83,18
what is fever bark,fever bark is the bark of a tree a tea made from the bark is used as medicine,['fever'],1.0,77,18
how do i control dandruff and hair fall,mupiricin is an antibiotic used for skin infections it will not help poison ivy sorry,['hairfall'],-1.0,85,39
can low carb diet cause anxiety,anxiety is a very complex reaction the causes are very individual     what would cause anxiety in one person may not affect another a low carb diet per se does not cause anxiety but that does not mean it is not a factor for you dieting and losing weight is stressful in itself,['anxiety' 'low carb diet'],1.0,276,31
how to confirm depression,if you currently have cobra coverage you can shop on the exchange in your state and drop cobra if you find a better deal which you are very likely to do,['depression'],-1.0,152,25
what is balanitis,balanitis is an inflammation of the head of the penis a similar condition balanoposthitis refers to inflammation of the head of the penis and the foreskin symptoms of balanitis include redness or swelling itching rash pain and a foul smelling discharge,['balanitis'],1.0,252,17
what is secondary hypertension,secondary hypertension is high blood pressure that is secondary to problems in another part of the body such as the adrenals kidneys or aorta,['high blood pressure'],1.0,141,30
what do bedbugs look like,also i have not slept a whole lot lately,['bedbug'],-1.0,40,25
can shingles occur in the scalp,try eating the white of eggs lemon juice lots of sugar increase fluid intake more than 2 5 litter per day massage your skin with olive oil use glycolic acid and retin a if all that is not good enough you can try laser therapy good luck,['shingles' 'scalp'],-1.0,235,31
can hpv be spread to same sex partners,yes teach your boyfriend how to help you have an orgasm i am sure you will find him a very interested student unless you tell him what feels best to you and what does not feel good how will he know remember that the ability to have an orgasm is more in your brain than in your genitals,[''],-1.0,285,38
can hives be a result of lupus,feels like chronic laryngitis cancer does not seem to be a possibility here as you do not have any systemic effects or symptoms like weight loss etc if you do not take proper care while having sex then stds can present in this way,['hives' 'lupus'],-1.0,230,30
can i get a uti from taking baths,females yes soap in the bath water bubble bath or improper rinsing can cause urethral irritation with burning not all burning with urination is a urinary tract infection so it is wise to be properly tested,[''],1.0,205,33
who gets atherosclerosis,hi as you have had these symptoms for 4 days yes i think its about time to get checked out take a stool sample with you it could help good luck,['atherosclerosis'],-1.0,143,24
is obesity a pre existing condition,accutane does not cause ovarian cysts as a matter of fact most women should be on oral contraceptives while taking accutane    this will prevent ovulation and cysts perhaps after you stopped the pill   your ovulation commenced again and with it a cyst,[''],-1.0,251,35
what are the symptoms of osteoporosis,common symptoms of osteoporosis are back pain easy fractures collapsed vertebra loss of height stooped posture etc,['osteoporosis'],1.0,114,37
what can cause nausea and vomiting,oh swimming pool    how long did they have their swimming suits on for probably just a contact rash from having that wet cloth rubbing on their skin as they played around during the day,['nausea' 'vomit'],-1.0,185,34
how is epilepsy treated,this probably is due to superadded infection more than one antibiotics gram positive and gram negative  should be given for complete cure,['epilepsy'],-1.0,137,23
can i swim in a pool after i give birth,speak to the dentist about various anxiety reducing methods such as hypnosis therapy medication or nitrous oxide sometimes just becoming more familiar with the procedures will help a lot,['birth'],-1.0,186,39
my daughter had a gastroenteritis bug,hi in my opinion petechial rash caused by straining should appear within minutes to hours petechial rash that show 3 days later can have another cause i recommend you see a pediatric doctor to check for infectiongood luck,['gastro bug'],1.0,221,37
what are promotility agents for gerd,hi try this give your vagina a sea salt wash or better still bath in warm sea salt water this will help cleanse and heal your tear try doing it twice a day if you can your be surprised how this will help good luck,['heartburn'],-1.0,213,36
what are the symptoms of hypothyroidism,features of hypothyroidism can go unsuspected for a long period of time these symptoms include fatigue lethargy mental impairment depression cold intolerance hoarseness dry skin weight gain change in menstrual cycles constipation headaches,['hypothyroidism'],1.0,239,39
what is respiratory tract infection,any infection of the respiratory tract nose sinuses throat bronchial passages lungs etc the term upper respiratory tract infection basically means you have a cold the term lower respiratory tract infection could mean bronchitis or pneumonia,['respiratory tract'],1.0,240,35
can i pass pneumonia to my dog,not likely since i do not know the specific germ pathogen causing your pneumonia i do not have enough information but in most cases your dog is safe,['pneumonia' 'dog'],1.0,148,30
how many days a week should i exercise,anti inflammatory drugs such as 5 asas are used to stop mild flares to treat more severe flares doctors usually turn to more potent medications such as corticosteroids,['exercise'],-1.0,167,38
what is a hernia,hypertensive urgency is a form of hypertensive crisis a spectrum of situations that includes high blood pressure and progressive or impending organ damage caused by high blood pressure,['hernia'],-1.0,184,16
epigastric pain…what is wrong,lactose intolerance,['epigastric pain' 'lactose intolerance'],1.0,19,29
how can i prevent colorectal cancer,hi then its time to go to your doctor if you do not have one the er asap good luck,['colon cancer'],-1.0,82,35
i have not had a period for 4 months,that may be wise since this gurgling sensation you are hearing or feeling could indicate mucous in the bronchial area or lungs you need a medical professional to listen to your lungs to determine if you have sounds consistent with bronchitis or even pneumonia,['no menstruation'],-1.0,259,36
infected finger becoming numb,i̇t is unfortunately infected and can not be lefted this way pus draiange oral antibiotics and localized wound care and antibiotics are necessary,['infected finger becoming numb'],1.0,145,29
how can i reduce salt in my food,most over the counter pregnancy tests can be used as soon as you miss a period some can even be used a few days before your missed period at this point you can take a pregnancy test and it will be reliable,['salt' 'food'],-1.0,205,32
is tonsillitis contagious,nothing bad will happen this is why an adult needs to keep track of those things,['tonsillitis'],-1.0,80,25
what causes portal hypertension,tooth decay forms from the acid created by the plaque that is left on your teeth whitening will not help that oral hygiene cleaning and restoration of the decay is the best course for you after that you can then whiten your teeth,['high blood pressure'],-1.0,229,31
crooked stiff neck and slight neck pain,crooked neck and pain in surrounding area is suggestive of a pinched nerve in the neck region though the xray shows that all disc spaces are normal mri will show if the disc has prolapsed posteriorly compressing the adjoining nerve roots to relieve pain the attitude of neck becomes crooked,['stiff neck and slight pain'],1.0,290,39
will i get medicine for lupus,hi ok some women can get pregnant from anytime of the month even during there period the only way you find out is if you miss your next period if you do get a test done then unless this was within the last 72 hours you could try a plan b do hope this helps you good luck,['lupus' 'drug'],-1.0,270,29
are beeswax candle fumes safe to breath,i think you will find this information helpful <link>,[''],-1.0,53,39
can heartburn cause uric acid,hi hope you got straight under cold water after try icing it this should help relieve the pain if you still have any if you have some or can get some try burn cream good luck,['heartburn' 'uric acid'],-1.0,174,29
just found out i have hepatitis c,surgury can cause have risks for your dancing career but it will provide faster recovery cast will take 6 weaks but you will able to regain your preformance within 2 weeks after cast safly,['just found out i have hepatitis c?'],-1.0,188,33
can hand sanitizer hurt newborns,not all hand sanitizers are the same unfortunately so i can not make a blanket statement that all are safe the ones that are alcohol based are safe i examine newborns every day and i use them,['newborn'],1.0,191,32
what is hepatitis,hepatitis is a disease involving inflammation of the liver most types of hepatitis are caused by viruses but alcohol drugs and other factors also can cause the disease hepatitis can cause long term damage to the liver,['hepatitis'],1.0,217,17
can i take naproxen with lansoprazole,since naproxen can cause stomach issues the reason you are taking lansoprazole and the fact that i do not know anything about you or your medical history this patient specific okay should only come from your medical provider,['naproxen'],1.0,224,37
what are some slang terms for condoms,slang terms include love gloves rubbers venus shirts raincoats and penis hats,['condom'],1.0,77,37
what is a medicare extra help plan,if you are careful not to swallow it and rinse well afterwards it should not count as sodium intake check with your dentist on how frequently you should be doing this,['health insurance' 'affordable care act'],-1.0,166,34
